year	hhid	region	zones	woreda	ea	total_valuefert	total_qty_w	real_tpricefert_cens_mrk	formal_credit	informal_credit	ext_acess	ag_rainy_13	filter	num_mem	weight	hh_headage	femhead	attend_sch	mrk_dist_w	worker	safety_net	soil_qty_rev2	hh_s6bq04	hh_s6aq02	asset	hhasset_value	hhasset_value_w	real_hhvalue	land_holding	median_mrk	median_price	median_age	median_soil	ag_rainy_15	ag_rainy_18	mrk_dist	s5bq02	s5bq09	ag_rainy_21	s7q02	s7q04
2013	010101088801601002	1	1	1	10101088845824	803	50	16.083334	0	0	1	1	Matched (3)	9	2443.017822265625	78	1	0	6.5	3	1	2	4507	151	Matched (3)	4658	4658	4658	2.5447099	8	15	46	2								
2013	010101088801601017	1	1	1	10101088845824	800	50	16	0	0	1	1	Matched (3)	8	2443.017822265625	44	0	0	6.5	2	1	1	2520	56	Matched (3)	2576	2576	2576	2.1196601	8	15	46	2								
2013	010101088801601034	1	1	1	10101088845824	0	0	15	0	0	0	1	Matched (3)	1	2443.017822265625	78	1	0	6.5	0	1	3	230	59	Matched (3)	289	289	289	.065228	8	15	46	2								
2013	010101088801601049	1	1	1	10101088845824	0	0	15	0	1	0	1	Matched (3)	4	2443.017822265625	44	1	0	6.5	2	1	2	850	100	Matched (3)	950	950	950	.32897002	8	15	46	2								
2013	010101088801601064	1	1	1	10101088845824	0	0	15	0	1	1	1	Matched (3)	4	2443.017822265625	71	0	0	6.5	1	1	2	2009	39	Matched (3)	2048	2048	2048	.065228	8	15	46	2								
2013	010101088801601080	1	1	1	10101088845824	750	50	15	0	0	1	1	Matched (3)	4	2443.017822265625	44	1	0	6.5	1	1	2	3350	301	Matched (3)	3651	3651	3651	.555475	8	15	46	2								
2013	010101088801601087	1	1	1	10101088845824	750	50	15	0	0	1	1	Matched (3)	6	2062.287841796875	44	0	1	6.5	3	1	2	2820	80	Matched (3)	2900	2900	2900	.83859003	8	15	46	2								
2013	010101088801601101	1	1	1	10101088845824	0	0	15	0	0	1	1	Matched (3)	5	2443.017822265625	44	0	1	6.5	2	0	2	3773	172	Matched (3)	3945	3945	3945	1.989975	8	15	46	2								
2013	010101088801601116	1	1	1	10101088845824	0	0	15	0	0	1	1	Matched (3)	6	2443.017822265625	51	0	0	6.5	2	0	2	2126	62	Matched (3)	2188	2188	2188	.81879002	8	15	46	2								
2013	010101088801601131	1	1	1	10101088845824	846	47	18	0	0	1	1	Matched (3)	8	2443.017822265625	44	0	0	6.5	5	1	2	3395	328	Matched (3)	3723	3723	3723	3.019372	8	15	46	2								
2013	010102088801403001	1	1	2	10102089187328	3290	215	16	0	1	1	1	Matched (3)	10	2546.43603515625	52	0	1	6.5	6	0	2	26480	189	Matched (3)	26669	17947	17947	2.4021487	8	15	46	2								
2013	010102088801403011	1	1	2	10102089187328	1600	100	16	0	1	1	1	Matched (3)	7	2546.43603515625	56	1	0	6.5	3	1	2	4465	69	Matched (3)	4534	4534	4534	1.350475	8	15	46	2								
2013	010102088801403016	1	1	2	10102089187328	2410	160	16	1	1	1	1	Matched (3)	7	2546.43603515625	42	0	0	6.5	3	0	2	7100	102	Matched (3)	7202	7202	7202	2.231595	8	15	46	2								
2013	010102088801403026	1	1	2	10102089187328	0	0	14.8	0	0	1	1	Matched (3)	2	2546.43603515625	72	1	0	6.5	0	1	2	1900	117	Matched (3)	2017	2017	2017	.51697677	8	15	46	2								
2013	010102088801403031	1	1	2	10102089187328	3347	224	16	0	1	1	1	Matched (3)	8	2546.43603515625	44	0	1	6.5	3	0	2	10500	183	Matched (3)	10683	10683	10683	3.1921387	8	15	46	2								
2013	010102088801403036	1	1	2	10102089187328	2772	194	14.8	1	1	1	1	Matched (3)	8	2546.43603515625	47	0	1	6.5	4	0	2	7697	149	Matched (3)	7846	7846	7846	5.98033	8	15	46	2								
2013	010102088801403046	1	1	2	10102089187328	2400	150	16	0	1	1	1	Matched (3)	10	2546.43603515625	52	0	0	6.5	8	0	2	8248	163	Matched (3)	8411	8411	8411	3.1047254	8	15	46	2								
